data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1966,NA,NA,national,United States,0,Outcome,Total compensation per hour,160.94031449005962
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1966,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),176.26306260054722
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1967,NA,NA,national,United States,0,Outcome,Total compensation per hour,163.68098873676507
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1967,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),178.7498590175697
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1968,NA,NA,national,United States,0,Outcome,Total compensation per hour,167.0864959332587
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1968,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),184.7055840991696
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1969,NA,NA,national,United States,0,Outcome,Total compensation per hour,170.91051725205614
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1969,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),186.64346070552148
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1970,NA,NA,national,United States,0,Outcome,Total compensation per hour,172.93949451683469
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1970,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),189.95260905636312
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1971,NA,NA,national,United States,0,Outcome,Total compensation per hour,177.8303928615941
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1971,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),198.51060535485055
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1972,NA,NA,national,United States,0,Outcome,Total compensation per hour,187.01210610241532
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1972,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),206.5982398436448
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1973,NA,NA,national,United States,0,Outcome,Total compensation per hour,186.53162088134857
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1973,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),209.60790635784753
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1974,NA,NA,national,United States,0,Outcome,Total compensation per hour,182.49223513686005
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1974,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),204.08562467918352
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1975,NA,NA,national,United States,0,Outcome,Total compensation per hour,181.78181101220855
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1975,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),209.54844198002883
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1976,NA,NA,national,United States,0,Outcome,Total compensation per hour,184.1503459373832
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1976,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),214.79411318764664
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1977,NA,NA,national,United States,0,Outcome,Total compensation per hour,187.01102036128609
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1977,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),216.52367359492575
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1978,NA,NA,national,United States,0,Outcome,Total compensation per hour,189.58102639662505
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1978,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),218.89858654132044
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1979,NA,NA,national,United States,0,Outcome,Total compensation per hour,187.37156300609655
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1979,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),216.26130772574487
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1980,NA,NA,national,United States,0,Outcome,Total compensation per hour,182.60426404028857
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1980,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),210.65257833497947
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1981,NA,NA,national,United States,0,Outcome,Total compensation per hour,181.7604749695434
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1981,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),214.23951044110328
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1982,NA,NA,national,United States,0,Outcome,Total compensation per hour,182.345947814033
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1982,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),212.2411606689456
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1983,NA,NA,national,United States,0,Outcome,Total compensation per hour,183.57385782577904
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1983,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),218.89106467053935
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1984,NA,NA,national,United States,0,Outcome,Total compensation per hour,182.6046841018766
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1984,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),224.08797283407128
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1985,NA,NA,national,United States,0,Outcome,Total compensation per hour,182.1845876990021
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1985,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),227.78277272130632
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1986,NA,NA,national,United States,0,Outcome,Total compensation per hour,183.8970904286192
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1986,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),233.23645543586892
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1987,NA,NA,national,United States,0,Outcome,Total compensation per hour,181.8139915817114
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1987,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),232.0588260276224
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1988,NA,NA,national,United States,0,Outcome,Total compensation per hour,181.2448113242519
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1988,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),235.06139186076592
