area,occupation,year,workers
DOM,Creative and multimedia,2018,123.86
DOM,Creative and multimedia,2019,123.24
DOM,Creative and multimedia,2020,83.28
DOM,Creative and multimedia,2021,75.64
DOM,Creative and multimedia,2022,172.82
DOM,Creative and multimedia,2023,123.08
DOM,Creative and multimedia,2024,24.35
DOM,Professional services,2018,48.0
DOM,Professional services,2020,0.59
DOM,Professional services,2023,0.15
DOM,Professional services,2024,1.45
DOM,Sales and marketing support,2017,16.42
DOM,Sales and marketing support,2019,7.32
DOM,Sales and marketing support,2020,8.68
DOM,Sales and marketing support,2021,6.07
DOM,Sales and marketing support,2022,8.0
DOM,Sales and marketing support,2023,2.59
DOM,Sales and marketing support,2024,5.74
DOM,Software development and technology,2017,40.01
DOM,Software development and technology,2018,19.2
DOM,Software development and technology,2019,153.02
DOM,Software development and technology,2020,130.08
DOM,Software development and technology,2021,133.16
DOM,Software development and technology,2022,129.79
DOM,Software development and technology,2023,180.75
DOM,Software development and technology,2024,169.31
DOM,Writing and translation,2017,15.31
DOM,Writing and translation,2018,34.86
DOM,Writing and translation,2019,12.67
DOM,Writing and translation,2020,9.32
DOM,Writing and translation,2021,5.3
DOM,Writing and translation,2022,13.6
DOM,Writing and translation,2023,9.55
DOM,Writing and translation,2024,8.58
DZA,Clerical and data entry,2017,13.79
DZA,Clerical and data entry,2018,9.9
DZA,Clerical and data entry,2019,12.61
DZA,Clerical and data entry,2020,5.43
DZA,Clerical and data entry,2021,33.8
DZA,Clerical and data entry,2022,27.1
DZA,Clerical and data entry,2023,6.28
DZA,Clerical and data entry,2024,9.71
DZA,Creative and multimedia,2017,146.8
DZA,Creative and multimedia,2018,236.52
DZA,Creative and multimedia,2019,385.0
DZA,Creative and multimedia,2020,466.79
DZA,Creative and multimedia,2021,485.99
DZA,Creative and multimedia,2022,466.66
DZA,Creative and multimedia,2023,398.14
DZA,Creative and multimedia,2024,315.68
DZA,Professional services,2017,17.08
DZA,Professional services,2018,31.4
DZA,Professional services,2019,7.14
DZA,Professional services,2020,10.09
DZA,Professional services,2022,12.72
DZA,Professional services,2023,0.51
DZA,Professional services,2024,0.17
DZA,Sales and marketing support,2017,35.03
DZA,Sales and marketing support,2018,19.86
DZA,Sales and marketing support,2019,25.01
DZA,Sales and marketing support,2020,2.69
DZA,Sales and marketing support,2021,0.86
DZA,Sales and marketing support,2022,3.22
DZA,Sales and marketing support,2023,0.77
DZA,Sales and marketing support,2024,3.92
DZA,Software development and technology,2017,23.9
DZA,Software development and technology,2018,49.82
DZA,Software development and technology,2019,173.41
DZA,Software development and technology,2020,100.24
DZA,Software development and technology,2021,360.63
DZA,Software development and technology,2022,436.29
DZA,Software development and technology,2023,309.33
DZA,Software development and technology,2024,308.41
DZA,Writing and translation,2017,89.82
DZA,Writing and translation,2018,56.62
DZA,Writing and translation,2019,122.96
DZA,Writing and translation,2020,97.79
DZA,Writing and translation,2021,40.63
DZA,Writing and translation,2022,79.05
DZA,Writing and translation,2023,30.93
DZA,Writing and translation,2024,17.55
ECU,Clerical and data entry,2019,3.95
ECU,Clerical and data entry,2020,4.55
ECU,Clerical and data entry,2021,11.27
ECU,Clerical and data entry,2022,23.06
ECU,Clerical and data entry,2024,0.67
ECU,Creative and multimedia,2017,30.95
ECU,Creative and multimedia,2018,21.12
ECU,Creative and multimedia,2019,140.2
ECU,Creative and multimedia,2020,223.87
ECU,Creative and multimedia,2021,138.73
ECU,Creative and multimedia,2022,247.51
ECU,Creative and multimedia,2023,157.76
ECU,Creative and multimedia,2024,176.57
ECU,Professional services,2022,0.31
ECU,Professional services,2023,0.16
ECU,Professional services,2024,0.07
ECU,Sales and marketing support,2017,8.67
ECU,Sales and marketing support,2020,8.75
ECU,Sales and marketing support,2021,18.67
ECU,Sales and marketing support,2022,39.39
ECU,Sales and marketing support,2023,0.24
ECU,Sales and marketing support,2024,0.1
ECU,Software development and technology,2017,48.11
ECU,Software development and technology,2018,41.51
ECU,Software development and technology,2019,21.78
ECU,Software development and technology,2020,115.36
ECU,Software development and technology,2021,423.17
ECU,Software development and technology,2022,352.15
ECU,Software development and technology,2023,297.66
ECU,Software development and technology,2024,163.27
ECU,Writing and translation,2019,33.97
ECU,Writing and translation,2020,10.85
ECU,Writing and translation,2021,25.71
ECU,Writing and translation,2022,80.88
ECU,Writing and translation,2023,10.71
ECU,Writing and translation,2024,4.32
EGY,Clerical and data entry,2017,91.3
EGY,Clerical and data entry,2018,37.51
EGY,Clerical and data entry,2019,90.91
EGY,Clerical and data entry,2020,95.58
EGY,Clerical and data entry,2021,145.44
EGY,Clerical and data entry,2022,312.05
EGY,Clerical and data entry,2023,147.85
EGY,Clerical and data entry,2024,135.73
EGY,Creative and multimedia,2017,406.88
EGY,Creative and multimedia,2018,776.56
EGY,Creative and multimedia,2019,1602.44
EGY,Creative and multimedia,2020,2490.48
EGY,Creative and multimedia,2021,3920.36
EGY,Creative and multimedia,2022,5579.59
EGY,Creative and multimedia,2023,4735.36
EGY,Creative and multimedia,2024,4902.29
EGY,Professional services,2017,104.91
EGY,Professional services,2018,86.76
EGY,Professional services,2019,83.29
EGY,Professional services,2020,143.68
EGY,Professional services,2021,159.71
EGY,Professional services,2022,115.72
EGY,Professional services,2023,52.41
EGY,Professional services,2024,11.47
EGY,Sales and marketing support,2017,184.82
EGY,Sales and marketing support,2018,193.87
EGY,Sales and marketing support,2019,119.6
EGY,Sales and marketing support,2020,257.76
EGY,Sales and marketing support,2021,134.04
EGY,Sales and marketing support,2022,230.18
EGY,Sales and marketing support,2023,81.4
EGY,Sales and marketing support,2024,91.35
EGY,Software development and technology,2017,378.09
EGY,Software development and technology,2018,519.17
EGY,Software development and technology,2019,1209.66
EGY,Software development and technology,2020,2412.41
EGY,Software development and technology,2021,2349.52
EGY,Software development and technology,2022,2593.66
EGY,Software development and technology,2023,2616.95
EGY,Software development and technology,2024,2646.18
EGY,Writing and translation,2017,511.71
EGY,Writing and translation,2018,716.04
EGY,Writing and translation,2019,735.99
EGY,Writing and translation,2020,751.69
EGY,Writing and translation,2021,381.64
EGY,Writing and translation,2022,439.79
EGY,Writing and translation,2023,314.31
EGY,Writing and translation,2024,380.33
ERI,Creative and multimedia,2021,3.02
ERI,Creative and multimedia,2024,0.99
ERI,Software development and technology,2021,2.51
ERI,Writing and translation,2022,1.18
ERI,Writing and translation,2023,1.11
ERI,Writing and translation,2024,0.46
ESP,Clerical and data entry,2017,73.4
ESP,Clerical and data entry,2018,63.84
ESP,Clerical and data entry,2019,38.96
ESP,Clerical and data entry,2020,18.81
ESP,Clerical and data entry,2021,20.48
ESP,Clerical and data entry,2022,24.64
ESP,Clerical and data entry,2023,10.59
ESP,Clerical and data entry,2024,16.93
ESP,Creative and multimedia,2017,287.72
ESP,Creative and multimedia,2018,520.92
ESP,Creative and multimedia,2019,388.51
ESP,Creative and multimedia,2020,649.67
ESP,Creative and multimedia,2021,606.72
ESP,Creative and multimedia,2022,450.26
ESP,Creative and multimedia,2023,217.16
ESP,Creative and multimedia,2024,173.69
ESP,Professional services,2017,112.85
ESP,Professional services,2018,159.99
ESP,Professional services,2019,184.18
ESP,Professional services,2020,136.6
ESP,Professional services,2021,49.71
ESP,Professional services,2022,44.33
ESP,Professional services,2023,9.92
ESP,Professional services,2024,9.0
ESP,Sales and marketing support,2017,308.22
ESP,Sales and marketing support,2018,343.39
ESP,Sales and marketing support,2019,246.56
ESP,Sales and marketing support,2020,109.21
ESP,Sales and marketing support,2021,66.5
ESP,Sales and marketing support,2022,52.19
ESP,Sales and marketing support,2023,20.39
ESP,Sales and marketing support,2024,29.9
ESP,Software development and technology,2017,203.39
ESP,Software development and technology,2018,94.96
ESP,Software development and technology,2019,258.81
ESP,Software development and technology,2020,705.57
ESP,Software development and technology,2021,816.9
ESP,Software development and technology,2022,1200.14
ESP,Software development and technology,2023,575.32
ESP,Software development and technology,2024,309.39
ESP,Writing and translation,2017,501.78
ESP,Writing and translation,2018,601.76
ESP,Writing and translation,2019,556.04
ESP,Writing and translation,2020,385.86
ESP,Writing and translation,2021,218.05
ESP,Writing and translation,2022,136.61
ESP,Writing and translation,2023,64.42
ESP,Writing and translation,2024,45.14
EST,Clerical and data entry,2024,7.47
EST,Creative and multimedia,2017,24.02
EST,Creative and multimedia,2018,29.32
EST,Creative and multimedia,2019,19.76
EST,Creative and multimedia,2020,7.63
EST,Creative and multimedia,2021,13.63
EST,Creative and multimedia,2022,13.43
EST,Creative and multimedia,2023,17.91
EST,Creative and multimedia,2024,57.4
EST,Professional services,2017,17.57
EST,Professional services,2018,18.49
EST,Professional services,2019,31.64
EST,Professional services,2023,0.1
EST,Sales and marketing support,2017,185.67
EST,Sales and marketing support,2018,34.4
EST,Sales and marketing support,2019,68.5
EST,Sales and marketing support,2022,4.23
EST,Sales and marketing support,2023,0.1
EST,Sales and marketing support,2024,0.25
EST,Software development and technology,2017,16.38
EST,Software development and technology,2018,31.48
EST,Software development and technology,2019,295.87
EST,Software development and technology,2020,396.34
EST,Software development and technology,2021,227.87
EST,Software development and technology,2022,198.99
EST,Software development and technology,2023,96.67
EST,Software development and technology,2024,196.51
EST,Writing and translation,2017,15.69
EST,Writing and translation,2018,21.11
EST,Writing and translation,2019,7.4
EST,Writing and translation,2020,2.03
EST,Writing and translation,2021,8.84
EST,Writing and translation,2022,1.17
EST,Writing and translation,2023,0.38
EST,Writing and translation,2024,0.51
ETH,Clerical and data entry,2022,2.56
ETH,Clerical and data entry,2024,6.97
ETH,Creative and multimedia,2018,14.19
ETH,Creative and multimedia,2020,13.98
ETH,Creative and multimedia,2021,21.79
ETH,Creative and multimedia,2022,56.3
ETH,Creative and multimedia,2023,28.51
ETH,Creative and multimedia,2024,29.36
ETH,Professional services,2018,35.07
ETH,Professional services,2020,5.03
ETH,Professional services,2022,0.16
ETH,Professional services,2023,1.97
ETH,Professional services,2024,1.8
ETH,Sales and marketing support,2019,18.06
ETH,Sales and marketing support,2021,8.0
ETH,Sales and marketing support,2023,0.22
ETH,Sales and marketing support,2024,0.52
ETH,Software development and technology,2017,1.0
ETH,Software development and technology,2019,17.62
ETH,Software development and technology,2020,18.87
ETH,Software development and technology,2021,8.45
ETH,Software development and technology,2022,72.7
ETH,Software development and technology,2023,68.76
ETH,Software development and technology,2024,117.17
ETH,Writing and translation,2018,18.36
ETH,Writing and translation,2019,8.71
ETH,Writing and translation,2020,11.69
ETH,Writing and translation,2021,12.46
ETH,Writing and translation,2022,3.01
ETH,Writing and translation,2023,5.98
ETH,Writing and translation,2024,25.69
FIN,Clerical and data entry,2021,37.57
FIN,Creative and multimedia,2017,21.72
FIN,Creative and multimedia,2018,36.54
FIN,Creative and multimedia,2019,33.61
FIN,Creative and multimedia,2020,13.8
FIN,Creative and multimedia,2021,23.27
FIN,Creative and multimedia,2022,26.07
FIN,Creative and multimedia,2023,10.21
FIN,Creative and multimedia,2024,8.43
FIN,Professional services,2022,1.7
FIN,Professional services,2023,0.3
FIN,Professional services,2024,0.26
FIN,Sales and marketing support,2019,7.0
FIN,Sales and marketing support,2020,6.88
FIN,Sales and marketing support,2021,4.83
FIN,Sales and marketing support,2022,5.29
FIN,Sales and marketing support,2023,0.77
FIN,Sales and marketing support,2024,0.12
FIN,Software development and technology,2017,20.17
FIN,Software development and technology,2018,22.82
FIN,Software development and technology,2019,20.87
FIN,Software development and technology,2020,72.7
FIN,Software development and technology,2021,93.35
FIN,Software development and technology,2022,83.17
FIN,Software development and technology,2023,47.45
FIN,Software development and technology,2024,60.47
FIN,Writing and translation,2017,67.31
FIN,Writing and translation,2018,23.65
FIN,Writing and translation,2019,26.88
FIN,Writing and translation,2020,19.66
FIN,Writing and translation,2021,10.52
FIN,Writing and translation,2022,7.21
FIN,Writing and translation,2023,2.82
FIN,Writing and translation,2024,1.76
FJI,Sales and marketing support,2022,14.79
FJI,Software development and technology,2022,0.38
FJI,Software development and technology,2023,7.06
FJI,Software development and technology,2024,0.1
FJI,Writing and translation,2021,8.0
FJI,Writing and translation,2022,55.86
FJI,Writing and translation,2023,6.36
FJI,Writing and translation,2024,23.49
FLK,Professional services,2024,0.2
FRA,Clerical and data entry,2017,22.83
FRA,Clerical and data entry,2018,37.63
FRA,Clerical and data entry,2019,10.96
FRA,Clerical and data entry,2020,6.51
FRA,Clerical and data entry,2021,26.48
FRA,Clerical and data entry,2022,31.5
FRA,Clerical and data entry,2023,4.78
FRA,Clerical and data entry,2024,5.52
FRA,Creative and multimedia,2017,158.62
FRA,Creative and multimedia,2018,202.28
FRA,Creative and multimedia,2019,350.69
FRA,Creative and multimedia,2020,142.56
FRA,Creative and multimedia,2021,209.55
FRA,Creative and multimedia,2022,183.05
FRA,Creative and multimedia,2023,85.86
FRA,Creative and multimedia,2024,219.15
FRA,Professional services,2017,32.63
FRA,Professional services,2018,64.76
FRA,Professional services,2019,51.41
FRA,Professional services,2020,22.06
FRA,Professional services,2021,10.2
FRA,Professional services,2022,17.58
FRA,Professional services,2023,15.07
FRA,Professional services,2024,15.05
FRA,Sales and marketing support,2017,147.69
FRA,Sales and marketing support,2018,154.55
FRA,Sales and marketing support,2019,253.77
FRA,Sales and marketing support,2020,230.11
FRA,Sales and marketing support,2021,32.57
FRA,Sales and marketing support,2022,30.12
FRA,Sales and marketing support,2023,9.55
FRA,Sales and marketing support,2024,18.76
FRA,Software development and technology,2017,96.41
FRA,Software development and technology,2018,75.28
FRA,Software development and technology,2019,136.39
FRA,Software development and technology,2020,254.47
FRA,Software development and technology,2021,397.58
FRA,Software development and technology,2022,439.37
FRA,Software development and technology,2023,294.4
FRA,Software development and technology,2024,260.76
FRA,Writing and translation,2017,351.38
FRA,Writing and translation,2018,496.45
FRA,Writing and translation,2019,463.86
FRA,Writing and translation,2020,246.81
FRA,Writing and translation,2021,170.72
FRA,Writing and translation,2022,163.8
FRA,Writing and translation,2023,133.64
FRA,Writing and translation,2024,83.97
FRO,Software development and technology,2024,6.87
GAB,Creative and multimedia,2018,59.43
GAB,Creative and multimedia,2019,63.77
GAB,Creative and multimedia,2020,45.8
GAB,Creative and multimedia,2021,22.83
GAB,Creative and multimedia,2023,0.59
GAB,Creative and multimedia,2024,0.83
GAB,Sales and marketing support,2019,40.22
GAB,Software development and technology,2023,0.1
GAB,Writing and translation,2024,3.63
GBR,Clerical and data entry,2017,569.04
GBR,Clerical and data entry,2018,119.02
GBR,Clerical and data entry,2019,214.06
GBR,Clerical and data entry,2020,419.67
GBR,Clerical and data entry,2021,2337.35
GBR,Clerical and data entry,2022,1408.13
GBR,Clerical and data entry,2023,26.64
GBR,Clerical and data entry,2024,50.34
GBR,Creative and multimedia,2017,3002.6
GBR,Creative and multimedia,2018,1267.51
GBR,Creative and multimedia,2019,1918.11
GBR,Creative and multimedia,2020,3670.56
GBR,Creative and multimedia,2021,4359.28
GBR,Creative and multimedia,2022,3132.73
GBR,Creative and multimedia,2023,1802.4
GBR,Creative and multimedia,2024,2125.62
GBR,Professional services,2017,2042.14
GBR,Professional services,2018,877.13
GBR,Professional services,2019,1710.82
GBR,Professional services,2020,2595.57
GBR,Professional services,2021,211.42
GBR,Professional services,2022,329.36
GBR,Professional services,2023,491.71
GBR,Professional services,2024,429.35
GBR,Sales and marketing support,2017,3131.26
GBR,Sales and marketing support,2018,1537.96
GBR,Sales and marketing support,2019,2513.02
GBR,Sales and marketing support,2020,4070.26
GBR,Sales and marketing support,2021,2996.68
GBR,Sales and marketing support,2022,1745.21
GBR,Sales and marketing support,2023,407.82
GBR,Sales and marketing support,2024,403.98
GBR,Software development and technology,2017,2078.56
GBR,Software development and technology,2018,906.4
GBR,Software development and technology,2019,1478.82
GBR,Software development and technology,2020,3517.81
GBR,Software development and technology,2021,4709.3
GBR,Software development and technology,2022,3846.44
GBR,Software development and technology,2023,1698.95
GBR,Software development and technology,2024,1761.24
GBR,Writing and translation,2017,2344.79
GBR,Writing and translation,2018,1093.67
GBR,Writing and translation,2019,1956.93
GBR,Writing and translation,2020,3358.63
GBR,Writing and translation,2021,2979.84
GBR,Writing and translation,2022,1958.56
GBR,Writing and translation,2023,897.07
GBR,Writing and translation,2024,800.86
GEO,Clerical and data entry,2017,36.34
GEO,Clerical and data entry,2018,48.99
GEO,Clerical and data entry,2019,100.31
GEO,Clerical and data entry,2020,38.4
GEO,Clerical and data entry,2021,8.57
GEO,Clerical and data entry,2022,58.13
GEO,Clerical and data entry,2023,7.23
GEO,Clerical and data entry,2024,9.42
GEO,Creative and multimedia,2017,79.68
GEO,Creative and multimedia,2018,69.25
GEO,Creative and multimedia,2019,73.1
GEO,Creative and multimedia,2020,57.63
GEO,Creative and multimedia,2021,124.84
GEO,Creative and multimedia,2022,281.48
GEO,Creative and multimedia,2023,329.33
GEO,Creative and multimedia,2024,270.5
GEO,Professional services,2017,32.26
GEO,Professional services,2018,57.97
GEO,Professional services,2019,35.45
GEO,Professional services,2020,202.23
GEO,Professional services,2021,107.72
GEO,Professional services,2022,23.43
GEO,Professional services,2023,11.7
GEO,Professional services,2024,10.29
GEO,Sales and marketing support,2019,12.67
GEO,Sales and marketing support,2020,23.79
GEO,Sales and marketing support,2021,0.77
GEO,Sales and marketing support,2022,3.03
GEO,Sales and marketing support,2023,3.07
GEO,Sales and marketing support,2024,2.32
GEO,Software development and technology,2017,55.6
GEO,Software development and technology,2018,98.64
GEO,Software development and technology,2019,166.81
GEO,Software development and technology,2020,235.76
GEO,Software development and technology,2021,588.53
GEO,Software development and technology,2022,834.18
GEO,Software development and technology,2023,460.9
GEO,Software development and technology,2024,492.48
GEO,Writing and translation,2017,19.18
GEO,Writing and translation,2019,35.16
GEO,Writing and translation,2020,3.08
GEO,Writing and translation,2021,12.52
GEO,Writing and translation,2022,21.55
GEO,Writing and translation,2023,15.02
GEO,Writing and translation,2024,11.78
GGY,Creative and multimedia,2023,0.1
GGY,Professional services,2018,1.0
GGY,Professional services,2022,0.1
GGY,Professional services,2023,0.12
GGY,Professional services,2024,0.11
GGY,Sales and marketing support,2019,5.47
GGY,Sales and marketing support,2020,1.71
GGY,Writing and translation,2022,0.1
GGY,Writing and translation,2024,0.1
GHA,Clerical and data entry,2017,13.84
GHA,Clerical and data entry,2019,4.35
GHA,Clerical and data entry,2020,65.79
GHA,Clerical and data entry,2021,74.72
GHA,Clerical and data entry,2022,44.19
GHA,Clerical and data entry,2023,3.63
GHA,Clerical and data entry,2024,5.12
GHA,Creative and multimedia,2018,18.77
GHA,Creative and multimedia,2019,33.91
GHA,Creative and multimedia,2020,23.06
GHA,Creative and multimedia,2021,30.04
GHA,Creative and multimedia,2022,83.8
GHA,Creative and multimedia,2023,91.91
GHA,Creative and multimedia,2024,55.32
GHA,Professional services,2017,7.08
GHA,Professional services,2018,16.65
GHA,Professional services,2019,20.8
GHA,Professional services,2020,6.05
GHA,Professional services,2022,1.33
GHA,Professional services,2023,1.38
GHA,Professional services,2024,0.81
GHA,Sales and marketing support,2017,7.08
GHA,Sales and marketing support,2019,5.82
GHA,Sales and marketing support,2020,5.24
GHA,Sales and marketing support,2021,4.47
GHA,Sales and marketing support,2022,8.38
GHA,Sales and marketing support,2023,2.06
GHA,Sales and marketing support,2024,9.81
GHA,Software development and technology,2017,24.76
GHA,Software development and technology,2018,27.07
GHA,Software development and technology,2019,5.97
GHA,Software development and technology,2020,10.73
GHA,Software development and technology,2021,32.7
GHA,Software development and technology,2022,31.42
GHA,Software development and technology,2023,48.83
GHA,Software development and technology,2024,45.14
GHA,Writing and translation,2017,17.47
GHA,Writing and translation,2018,16.26
GHA,Writing and translation,2019,28.82
GHA,Writing and translation,2020,14.93
GHA,Writing and translation,2021,20.52
GHA,Writing and translation,2022,16.03
GHA,Writing and translation,2023,2.89
GHA,Writing and translation,2024,9.16
GIB,Creative and multimedia,2017,17.41
GIB,Creative and multimedia,2018,5.5
GIB,Creative and multimedia,2023,0.35
GIB,Creative and multimedia,2024,0.22
GIB,Professional services,2019,2.31
GIB,Professional services,2022,0.1
GIB,Professional services,2023,0.1
GIB,Professional services,2024,0.1
GIB,Sales and marketing support,2019,8.38
GIB,Sales and marketing support,2020,3.4
GIB,Sales and marketing support,2023,0.23
GIB,Software development and technology,2023,1.18
GIN,Sales and marketing support,2017,10.96
GIN,Sales and marketing support,2022,0.46
GIN,Sales and marketing support,2023,0.17
GIN,Sales and marketing support,2024,0.16
GLP,Software development and technology,2022,11.88
GLP,Software development and technology,2023,11.74
GLP,Writing and translation,2020,0.4
GMB,Creative and multimedia,2019,26.14
GMB,Creative and multimedia,2020,8.0
GMB,Creative and multimedia,2024,57.26
GMB,Professional services,2023,0.24
GMB,Sales and marketing support,2020,18.75
GMB,Sales and marketing support,2021,5.76
GMB,Sales and marketing support,2022,3.29
GMB,Software development and technology,2023,0.14
GNQ,Creative and multimedia,2023,0.1
GNQ,Creative and multimedia,2024,0.1
GNQ,Writing and translation,2023,0.19
GNQ,Writing and translation,2024,0.18
GRC,Clerical and data entry,2017,59.34
GRC,Clerical and data entry,2018,43.54
GRC,Clerical and data entry,2019,124.94
GRC,Clerical and data entry,2020,247.28
GRC,Clerical and data entry,2021,161.89
GRC,Clerical and data entry,2022,52.63
GRC,Clerical and data entry,2023,11.36
GRC,Creative and multimedia,2017,253.84
GRC,Creative and multimedia,2018,324.79
GRC,Creative and multimedia,2019,254.91
GRC,Creative and multimedia,2020,268.39
GRC,Creative and multimedia,2021,260.2
GRC,Creative and multimedia,2022,88.3
GRC,Creative and multimedia,2023,84.59
GRC,Creative and multimedia,2024,67.76
GRC,Professional services,2017,67.15
GRC,Professional services,2018,58.73
GRC,Professional services,2019,30.82
GRC,Professional services,2020,16.41
GRC,Professional services,2021,5.22
GRC,Professional services,2022,9.4
GRC,Professional services,2023,3.97
GRC,Professional services,2024,2.72
GRC,Sales and marketing support,2017,252.35
GRC,Sales and marketing support,2018,344.28
GRC,Sales and marketing support,2019,206.08
GRC,Sales and marketing support,2020,78.42
GRC,Sales and marketing support,2021,103.07
GRC,Sales and marketing support,2022,87.06
GRC,Sales and marketing support,2023,5.17
GRC,Sales and marketing support,2024,4.97
GRC,Software development and technology,2017,230.26
GRC,Software development and technology,2018,282.53
GRC,Software development and technology,2019,306.83
GRC,Software development and technology,2020,413.89
GRC,Software development and technology,2021,696.6
GRC,Software development and technology,2022,320.96
GRC,Software development and technology,2023,293.97
GRC,Software development and technology,2024,252.15
GRC,Writing and translation,2017,122.02
GRC,Writing and translation,2018,57.05
GRC,Writing and translation,2019,106.07
GRC,Writing and translation,2020,118.0
GRC,Writing and translation,2021,103.59
GRC,Writing and translation,2022,25.68
GRC,Writing and translation,2023,11.87
GRC,Writing and translation,2024,9.96
GRD,Creative and multimedia,2023,0.99
GRD,Software development and technology,2023,60.46
GRD,Software development and technology,2024,21.01
GRD,Writing and translation,2020,2.18
GRD,Writing and translation,2021,1.28
GTM,Clerical and data entry,2019,5.79
GTM,Clerical and data entry,2020,5.48
GTM,Clerical and data entry,2021,5.43
GTM,Clerical and data entry,2022,6.23
GTM,Clerical and data entry,2023,3.03
GTM,Creative and multimedia,2018,25.4
GTM,Creative and multimedia,2019,23.82
GTM,Creative and multimedia,2020,9.82
GTM,Creative and multimedia,2021,16.45
GTM,Creative and multimedia,2022,6.66
GTM,Creative and multimedia,2023,45.76
GTM,Creative and multimedia,2024,108.85
GTM,Professional services,2020,0.2
GTM,Professional services,2022,7.24
GTM,Professional services,2023,52.36
GTM,Professional services,2024,0.04
GTM,Sales and marketing support,2019,157.6
GTM,Sales and marketing support,2020,92.39
GTM,Sales and marketing support,2021,5.53
GTM,Sales and marketing support,2022,7.26
GTM,Sales and marketing support,2023,2.04
GTM,Software development and technology,2017,30.97
GTM,Software development and technology,2018,22.44
GTM,Software development and technology,2019,5.77
GTM,Software development and technology,2020,7.47
GTM,Software development and technology,2021,42.52
GTM,Software development and technology,2022,55.57
GTM,Software development and technology,2023,32.51
GTM,Software development and technology,2024,48.47
GTM,Writing and translation,2017,24.2
GTM,Writing and translation,2018,22.18
GTM,Writing and translation,2019,6.96
GTM,Writing and translation,2020,1.99
GTM,Writing and translation,2021,5.14
GTM,Writing and translation,2022,3.28
GTM,Writing and translation,2023,41.06
GTM,Writing and translation,2024,22.08
GUY,Clerical and data entry,2022,42.4
GUY,Creative and multimedia,2017,13.84
GUY,Creative and multimedia,2019,4.27
GUY,Creative and multimedia,2023,0.19
GUY,Professional services,2018,15.78
GUY,Professional services,2019,1.0
GUY,Professional services,2022,0.1
GUY,Professional services,2024,0.18
GUY,Sales and marketing support,2020,0.77
GUY,Sales and marketing support,2023,0.19
GUY,Writing and translation,2021,8.0
GUY,Writing and translation,2022,0.1
GUY,Writing and translation,2023,2.04
GUY,Writing and translation,2024,0.1
HKG,Clerical and data entry,2017,21.05
HKG,Clerical and data entry,2018,19.59
HKG,Clerical and data entry,2019,4.85
HKG,Clerical and data entry,2020,3.79
HKG,Clerical and data entry,2021,12.26
HKG,Clerical and data entry,2022,16.59
HKG,Clerical and data entry,2023,6.55
HKG,Clerical and data entry,2024,2.82
HKG,Creative and multimedia,2017,78.05
HKG,Creative and multimedia,2018,45.61
HKG,Creative and multimedia,2019,70.9
HKG,Creative and multimedia,2020,14.76
HKG,Creative and multimedia,2021,15.6
HKG,Creative and multimedia,2022,65.42
HKG,Creative and multimedia,2023,12.61
HKG,Creative and multimedia,2024,9.35
HKG,Professional services,2017,12.46
HKG,Professional services,2018,25.22
HKG,Professional services,2019,62.71
HKG,Professional services,2020,21.53
HKG,Professional services,2021,5.21
HKG,Professional services,2022,4.97
HKG,Professional services,2023,0.41
HKG,Professional services,2024,1.46
HKG,Sales and marketing support,2017,18.46
HKG,Sales and marketing support,2018,29.43
HKG,Sales and marketing support,2019,0.73
HKG,Sales and marketing support,2020,16.63
HKG,Sales and marketing support,2021,14.74
HKG,Sales and marketing support,2022,16.63
HKG,Sales and marketing support,2023,4.02
HKG,Sales and marketing support,2024,3.7
HKG,Software development and technology,2017,49.23
HKG,Software development and technology,2018,84.18
HKG,Software development and technology,2019,313.66
HKG,Software development and technology,2020,83.48
HKG,Software development and technology,2021,145.5
HKG,Software development and technology,2022,154.15
HKG,Software development and technology,2023,109.42
HKG,Software development and technology,2024,84.16
HKG,Writing and translation,2017,82.27
HKG,Writing and translation,2018,78.76
HKG,Writing and translation,2019,37.07
HKG,Writing and translation,2020,30.79
HKG,Writing and translation,2021,55.58
HKG,Writing and translation,2022,70.21
HKG,Writing and translation,2023,23.22
HKG,Writing and translation,2024,16.39
HND,Clerical and data entry,2024,1.51
HND,Creative and multimedia,2018,14.24
HND,Creative and multimedia,2019,340.99
HND,Creative and multimedia,2020,190.26
HND,Creative and multimedia,2021,143.19
HND,Creative and multimedia,2022,87.26
HND,Creative and multimedia,2023,24.85
HND,Creative and multimedia,2024,17.87
HND,Professional services,2019,18.76
HND,Professional services,2022,3.59
HND,Professional services,2023,0.11
HND,Professional services,2024,0.02
HND,Sales and marketing support,2019,3.32
HND,Sales and marketing support,2020,0.4
HND,Sales and marketing support,2023,0.12
HND,Sales and marketing support,2024,0.02
HND,Software development and technology,2017,13.0
HND,Software development and technology,2018,17.73
HND,Software development and technology,2019,19.3
HND,Software development and technology,2020,9.7
HND,Software development and technology,2022,6.89
HND,Software development and technology,2023,7.54
HND,Software development and technology,2024,0.1
HND,Writing and translation,2019,18.86
HND,Writing and translation,2020,9.39
HND,Writing and translation,2022,1.93
HND,Writing and translation,2023,0.67
HND,Writing and translation,2024,0.19
HRV,Clerical and data entry,2017,13.79
HRV,Clerical and data entry,2018,21.48
HRV,Clerical and data entry,2019,2.57
HRV,Clerical and data entry,2020,4.98
HRV,Clerical and data entry,2021,11.73
HRV,Clerical and data entry,2022,4.72
HRV,Clerical and data entry,2023,38.59
HRV,Creative and multimedia,2017,162.08
