area,occupation,year,workers
ARG,Professional services,2022,52.72
ARG,Professional services,2023,17.26
ARG,Professional services,2024,8.25
ARG,Sales and marketing support,2017,24.52
ARG,Sales and marketing support,2018,27.89
ARG,Sales and marketing support,2019,320.63
ARG,Sales and marketing support,2020,267.3
ARG,Sales and marketing support,2021,13.45
ARG,Sales and marketing support,2022,47.84
ARG,Sales and marketing support,2023,41.88
ARG,Sales and marketing support,2024,26.54
ARG,Software development and technology,2017,66.45
ARG,Software development and technology,2018,91.63
ARG,Software development and technology,2019,516.29
ARG,Software development and technology,2020,760.53
ARG,Software development and technology,2021,615.4
ARG,Software development and technology,2022,1181.83
ARG,Software development and technology,2023,1072.34
ARG,Software development and technology,2024,1212.26
ARG,Writing and translation,2017,239.54
ARG,Writing and translation,2018,213.52
ARG,Writing and translation,2019,287.48
ARG,Writing and translation,2020,223.23
ARG,Writing and translation,2021,284.4
ARG,Writing and translation,2022,337.11
ARG,Writing and translation,2023,210.27
ARG,Writing and translation,2024,195.36
ARM,Clerical and data entry,2019,19.84
ARM,Clerical and data entry,2020,7.49
ARM,Clerical and data entry,2021,7.89
ARM,Clerical and data entry,2022,24.9
ARM,Clerical and data entry,2023,12.64
ARM,Clerical and data entry,2024,3.63
ARM,Creative and multimedia,2017,49.45
ARM,Creative and multimedia,2018,24.36
ARM,Creative and multimedia,2019,443.18
ARM,Creative and multimedia,2020,819.92
ARM,Creative and multimedia,2021,759.79
ARM,Creative and multimedia,2022,1087.55
ARM,Creative and multimedia,2023,679.52
ARM,Creative and multimedia,2024,892.48
ARM,Professional services,2019,5.79
ARM,Professional services,2020,6.1
ARM,Professional services,2021,5.25
ARM,Professional services,2022,16.4
ARM,Professional services,2023,9.82
ARM,Professional services,2024,9.61
ARM,Sales and marketing support,2017,36.58
ARM,Sales and marketing support,2018,56.65
ARM,Sales and marketing support,2019,101.22
ARM,Sales and marketing support,2020,215.18
ARM,Sales and marketing support,2021,12.87
ARM,Sales and marketing support,2022,5.97
ARM,Sales and marketing support,2023,2.01
ARM,Sales and marketing support,2024,0.19
ARM,Software development and technology,2017,93.13
