area,variable,percentile,year,value
ARG,spllinf992,p0p100,1990,0.2832
ARG,spllinf992,p0p100,1991,0.2832
ARG,spllinf992,p0p100,1992,0.28960001
ARG,spllinf992,p0p100,1993,0.28740001
ARG,spllinf992,p0p100,1994,0.29339999
ARG,spllinf992,p0p100,1995,0.2886
ARG,spllinf992,p0p100,1996,0.29879999
ARG,spllinf992,p0p100,1997,0.29980001
ARG,spllinf992,p0p100,1998,0.30489999
ARG,spllinf992,p0p100,1999,0.30989999
ARG,spllinf992,p0p100,2000,0.315
ARG,spllinf992,p0p100,2001,0.31999999
ARG,spllinf992,p0p100,2002,0.32499999
ARG,spllinf992,p0p100,2003,0.3301
ARG,spllinf992,p0p100,2004,0.3351
ARG,spllinf992,p0p100,2005,0.33379999
ARG,spllinf992,p0p100,2006,0.33790001
ARG,spllinf992,p0p100,2007,0.34079999
ARG,spllinf992,p0p100,2008,0.3436
ARG,spllinf992,p0p100,2009,0.36039999
ARG,spllinf992,p0p100,2010,0.35299999
ARG,spllinf992,p0p100,2011,0.3497
ARG,spllinf992,p0p100,2012,0.3567
ARG,spllinf992,p0p100,2013,0.3556
ARG,spllinf992,p0p100,2014,0.3556
ARG,spllinf992,p0p100,2015,0.36219999
ARG,spllinf992,p0p100,2016,0.36880001
ARG,spllinf992,p0p100,2017,0.37540001
ARG,spllinf992,p0p100,2018,0.38
ARG,spllinf992,p0p100,2019,0.37909999
ARG,spllinf992,p0p100,2020,0.38929999
ARG,spllinf992,p0p100,2021,0.3777
ARG,spllinf992,p0p100,2022,0.3829
ARG,spllinf992,p0p100,2023,0.38800001
ARG,spllinf992,p0p100,2024,0.3849
ARG,sptincj992,p0p100,1820,1
ARG,sptincj992,p0p100,1850,1
ARG,sptincj992,p0p100,1880,1
ARG,sptincj992,p0p100,1900,1
ARG,sptincj992,p0p100,1910,1
ARG,sptincj992,p0p100,1920,1
ARG,sptincj992,p0p100,1930,1
ARG,sptincj992,p0p100,1932,1
ARG,sptincj992,p0p100,1933,1
ARG,sptincj992,p0p100,1934,1
ARG,sptincj992,p0p100,1935,1
ARG,sptincj992,p0p100,1936,1
ARG,sptincj992,p0p100,1937,1
ARG,sptincj992,p0p100,1938,1
ARG,sptincj992,p0p100,1939,1
ARG,sptincj992,p0p100,1940,1
ARG,sptincj992,p0p100,1941,1
ARG,sptincj992,p0p100,1942,1
ARG,sptincj992,p0p100,1943,1
ARG,sptincj992,p0p100,1944,1
ARG,sptincj992,p0p100,1945,1
ARG,sptincj992,p0p100,1946,1
ARG,sptincj992,p0p100,1947,1
ARG,sptincj992,p0p100,1948,1
ARG,sptincj992,p0p100,1949,1
ARG,sptincj992,p0p100,1950,1
ARG,sptincj992,p0p100,1951,1
ARG,sptincj992,p0p100,1952,1
ARG,sptincj992,p0p100,1953,1
ARG,sptincj992,p0p100,1954,1
ARG,sptincj992,p0p100,1956,1
ARG,sptincj992,p0p100,1958,1
ARG,sptincj992,p0p100,1959,1
ARG,sptincj992,p0p100,1960,1
ARG,sptincj992,p0p100,1961,1
ARG,sptincj992,p0p100,1970,1
ARG,sptincj992,p0p100,1980,1
ARG,sptincj992,p0p100,1981,1
ARG,sptincj992,p0p100,1982,1
ARG,sptincj992,p0p100,1983,1
ARG,sptincj992,p0p100,1984,1
ARG,sptincj992,p0p100,1985,1
ARG,sptincj992,p0p100,1986,1
ARG,sptincj992,p0p100,1987,1
ARG,sptincj992,p0p100,1988,1
ARG,sptincj992,p0p100,1989,1
ARG,sptincj992,p0p100,1990,1
ARG,sptincj992,p0p100,1991,1
ARG,sptincj992,p0p100,1992,1
ARG,sptincj992,p0p100,1993,1
ARG,sptincj992,p0p100,1994,1
ARG,sptincj992,p0p100,1995,1
ARG,sptincj992,p0p100,1996,1
ARG,sptincj992,p0p100,1997,1
ARG,sptincj992,p0p100,1998,1
ARG,sptincj992,p0p100,1999,1
ARG,sptincj992,p0p100,2000,1
ARG,sptincj992,p0p100,2001,1
ARG,sptincj992,p0p100,2002,1
ARG,sptincj992,p0p100,2003,1
ARG,sptincj992,p0p100,2004,1
ARG,sptincj992,p0p100,2005,1
ARG,sptincj992,p0p100,2006,1
ARG,sptincj992,p0p100,2007,1
ARG,sptincj992,p0p100,2008,1
ARG,sptincj992,p0p100,2009,1
ARG,sptincj992,p0p100,2010,1
ARG,sptincj992,p0p100,2011,1
ARG,sptincj992,p0p100,2012,1
ARG,sptincj992,p0p100,2013,1
ARG,sptincj992,p0p100,2014,1
ARG,sptincj992,p0p100,2015,1
ARG,sptincj992,p0p100,2016,1
ARG,sptincj992,p0p100,2017,1
ARG,sptincj992,p0p100,2018,1
ARG,sptincj992,p0p100,2019,1
ARG,sptincj992,p0p100,2020,1
ARG,sptincj992,p0p100,2021,1
ARG,sptincj992,p0p100,2022,1
ARG,sptincj992,p0p100,2023,1
ARG,sptincj992,p0p100,2024,1
ARG,sptincj992,p0p50,1820,0.1385
ARG,sptincj992,p0p50,1850,0.1371
ARG,sptincj992,p0p50,1880,0.1358
ARG,sptincj992,p0p50,1900,0.1345
ARG,sptincj992,p0p50,1910,0.1318
ARG,sptincj992,p0p50,1920,0.1318
ARG,sptincj992,p0p50,1930,0.1318
ARG,sptincj992,p0p50,1932,0.132
ARG,sptincj992,p0p50,1933,0.1331
ARG,sptincj992,p0p50,1934,0.1327
ARG,sptincj992,p0p50,1935,0.1323
ARG,sptincj992,p0p50,1936,0.1313
ARG,sptincj992,p0p50,1937,0.1316
ARG,sptincj992,p0p50,1938,0.1318
ARG,sptincj992,p0p50,1939,0.1314
ARG,sptincj992,p0p50,1940,0.1323
ARG,sptincj992,p0p50,1941,0.1319
ARG,sptincj992,p0p50,1942,0.1329
ARG,sptincj992,p0p50,1943,0.1316
ARG,sptincj992,p0p50,1944,0.1325
ARG,sptincj992,p0p50,1945,0.1335
ARG,sptincj992,p0p50,1946,0.1328
ARG,sptincj992,p0p50,1947,0.1333
ARG,sptincj992,p0p50,1948,0.1342
ARG,sptincj992,p0p50,1949,0.1356
ARG,sptincj992,p0p50,1950,0.1354
ARG,sptincj992,p0p50,1951,0.137
ARG,sptincj992,p0p50,1952,0.1373
ARG,sptincj992,p0p50,1953,0.1396
ARG,sptincj992,p0p50,1954,0.1399
ARG,sptincj992,p0p50,1956,0.1421
ARG,sptincj992,p0p50,1958,0.1434
ARG,sptincj992,p0p50,1959,0.1436
ARG,sptincj992,p0p50,1960,0.1447
ARG,sptincj992,p0p50,1961,0.142
ARG,sptincj992,p0p50,1970,0.1454
ARG,sptincj992,p0p50,1980,0.0817
ARG,sptincj992,p0p50,1981,0.0817
ARG,sptincj992,p0p50,1982,0.0817
ARG,sptincj992,p0p50,1983,0.0817
ARG,sptincj992,p0p50,1984,0.0817
ARG,sptincj992,p0p50,1985,0.0817
ARG,sptincj992,p0p50,1986,0.0817
ARG,sptincj992,p0p50,1987,0.0817
ARG,sptincj992,p0p50,1988,0.0817
ARG,sptincj992,p0p50,1989,0.0817
ARG,sptincj992,p0p50,1990,0.0817
ARG,sptincj992,p0p50,1991,0.0817
ARG,sptincj992,p0p50,1992,0.0817
ARG,sptincj992,p0p50,1993,0.0817
ARG,sptincj992,p0p50,1994,0.0817
ARG,sptincj992,p0p50,1995,0.0817
ARG,sptincj992,p0p50,1996,0.0817
ARG,sptincj992,p0p50,1997,0.0817
ARG,sptincj992,p0p50,1998,0.0817
ARG,sptincj992,p0p50,1999,0.0817
ARG,sptincj992,p0p50,2000,0.0817
ARG,sptincj992,p0p50,2001,0.0703
ARG,sptincj992,p0p50,2002,0.07
ARG,sptincj992,p0p50,2003,0.0965
ARG,sptincj992,p0p50,2004,0.1028
ARG,sptincj992,p0p50,2005,0.1092
ARG,sptincj992,p0p50,2006,0.1162
ARG,sptincj992,p0p50,2007,0.1145
ARG,sptincj992,p0p50,2008,0.1284
ARG,sptincj992,p0p50,2009,0.1221
ARG,sptincj992,p0p50,2010,0.1282
ARG,sptincj992,p0p50,2011,0.1366
ARG,sptincj992,p0p50,2012,0.1404
ARG,sptincj992,p0p50,2013,0.1397
ARG,sptincj992,p0p50,2014,0.1294
ARG,sptincj992,p0p50,2015,0.1312
ARG,sptincj992,p0p50,2016,0.1331
ARG,sptincj992,p0p50,2017,0.1346
ARG,sptincj992,p0p50,2018,0.1347
ARG,sptincj992,p0p50,2019,0.1266
ARG,sptincj992,p0p50,2020,0.1063
ARG,sptincj992,p0p50,2021,0.1322
ARG,sptincj992,p0p50,2022,0.1326
ARG,sptincj992,p0p50,2023,0.1221
ARG,sptincj992,p0p50,2024,0.1221
ARG,sptincj992,p0p90,1820,0.5233
ARG,sptincj992,p0p90,1850,0.5182
ARG,sptincj992,p0p90,1880,0.5132
ARG,sptincj992,p0p90,1900,0.5082
ARG,sptincj992,p0p90,1910,0.4982
ARG,sptincj992,p0p90,1920,0.4982
ARG,sptincj992,p0p90,1930,0.4982
ARG,sptincj992,p0p90,1932,0.4987
ARG,sptincj992,p0p90,1933,0.5032
ARG,sptincj992,p0p90,1934,0.5015000000000001
ARG,sptincj992,p0p90,1935,0.5001
ARG,sptincj992,p0p90,1936,0.4964
ARG,sptincj992,p0p90,1937,0.4972
ARG,sptincj992,p0p90,1938,0.4983
ARG,sptincj992,p0p90,1939,0.4967
ARG,sptincj992,p0p90,1940,0.5
ARG,sptincj992,p0p90,1941,0.4986
ARG,sptincj992,p0p90,1942,0.5021
ARG,sptincj992,p0p90,1943,0.4975
ARG,sptincj992,p0p90,1944,0.5009
ARG,sptincj992,p0p90,1945,0.5046
ARG,sptincj992,p0p90,1946,0.5018
ARG,sptincj992,p0p90,1947,0.5038
ARG,sptincj992,p0p90,1948,0.5072
ARG,sptincj992,p0p90,1949,0.5124000000000001
ARG,sptincj992,p0p90,1950,0.5116
ARG,sptincj992,p0p90,1951,0.5178
ARG,sptincj992,p0p90,1952,0.5189
ARG,sptincj992,p0p90,1953,0.5274
ARG,sptincj992,p0p90,1954,0.5286000000000001
ARG,sptincj992,p0p90,1956,0.5369
ARG,sptincj992,p0p90,1958,0.5419
ARG,sptincj992,p0p90,1959,0.5429
ARG,sptincj992,p0p90,1960,0.547
ARG,sptincj992,p0p90,1961,0.5459
ARG,sptincj992,p0p90,1970,0.5496
ARG,sptincj992,p0p90,1980,0.4943
ARG,sptincj992,p0p90,1981,0.4943
ARG,sptincj992,p0p90,1982,0.4943
ARG,sptincj992,p0p90,1983,0.4943
ARG,sptincj992,p0p90,1984,0.4943
ARG,sptincj992,p0p90,1985,0.4943
ARG,sptincj992,p0p90,1986,0.4943
ARG,sptincj992,p0p90,1987,0.4943
ARG,sptincj992,p0p90,1988,0.4943
ARG,sptincj992,p0p90,1989,0.4943
ARG,sptincj992,p0p90,1990,0.4943
ARG,sptincj992,p0p90,1991,0.4943
ARG,sptincj992,p0p90,1992,0.4943
ARG,sptincj992,p0p90,1993,0.4943
ARG,sptincj992,p0p90,1994,0.4943
ARG,sptincj992,p0p90,1995,0.4943
ARG,sptincj992,p0p90,1996,0.4943
ARG,sptincj992,p0p90,1997,0.4943
ARG,sptincj992,p0p90,1998,0.4943
ARG,sptincj992,p0p90,1999,0.4943
ARG,sptincj992,p0p90,2000,0.4943
ARG,sptincj992,p0p90,2001,0.4834
ARG,sptincj992,p0p90,2002,0.4676
ARG,sptincj992,p0p90,2003,0.4975
ARG,sptincj992,p0p90,2004,0.505
ARG,sptincj992,p0p90,2005,0.5326000000000001
ARG,sptincj992,p0p90,2006,0.5545
ARG,sptincj992,p0p90,2007,0.5258
ARG,sptincj992,p0p90,2008,0.5860000000000001
ARG,sptincj992,p0p90,2009,0.5829
ARG,sptincj992,p0p90,2010,0.5742
ARG,sptincj992,p0p90,2011,0.5997
ARG,sptincj992,p0p90,2012,0.6119
ARG,sptincj992,p0p90,2013,0.6015
ARG,sptincj992,p0p90,2014,0.5840000000000001
ARG,sptincj992,p0p90,2015,0.5835
ARG,sptincj992,p0p90,2016,0.5828
ARG,sptincj992,p0p90,2017,0.5821000000000001
ARG,sptincj992,p0p90,2018,0.5824
ARG,sptincj992,p0p90,2019,0.5630000000000001
ARG,sptincj992,p0p90,2020,0.5489
ARG,sptincj992,p0p90,2021,0.5733
ARG,sptincj992,p0p90,2022,0.5677
ARG,sptincj992,p0p90,2023,0.5489
ARG,sptincj992,p0p90,2024,0.5489
ARG,sptincj992,p0p99,1820,0.8025
ARG,sptincj992,p0p99,1850,0.8004
ARG,sptincj992,p0p99,1880,0.7983
ARG,sptincj992,p0p99,1900,0.7963
ARG,sptincj992,p0p99,1910,0.7921
ARG,sptincj992,p0p99,1920,0.7921
ARG,sptincj992,p0p99,1930,0.7921
ARG,sptincj992,p0p99,1932,0.793
ARG,sptincj992,p0p99,1933,0.8
ARG,sptincj992,p0p99,1934,0.7975
ARG,sptincj992,p0p99,1935,0.7952
ARG,sptincj992,p0p99,1936,0.7892
ARG,sptincj992,p0p99,1937,0.7905000000000001
ARG,sptincj992,p0p99,1938,0.7923
ARG,sptincj992,p0p99,1939,0.7898000000000001
ARG,sptincj992,p0p99,1940,0.795
ARG,sptincj992,p0p99,1941,0.7927000000000001
ARG,sptincj992,p0p99,1942,0.7984
ARG,sptincj992,p0p99,1943,0.7911
ARG,sptincj992,p0p99,1944,0.7965
ARG,sptincj992,p0p99,1945,0.8024
ARG,sptincj992,p0p99,1946,0.7978000000000001
ARG,sptincj992,p0p99,1947,0.8011
ARG,sptincj992,p0p99,1948,0.8065
ARG,sptincj992,p0p99,1949,0.8147000000000001
ARG,sptincj992,p0p99,1950,0.8134
ARG,sptincj992,p0p99,1951,0.8233
ARG,sptincj992,p0p99,1952,0.8250000000000001
ARG,sptincj992,p0p99,1953,0.8386
ARG,sptincj992,p0p99,1954,0.8405
ARG,sptincj992,p0p99,1956,0.8537
ARG,sptincj992,p0p99,1958,0.8616
ARG,sptincj992,p0p99,1959,0.8632000000000001
ARG,sptincj992,p0p99,1960,0.8697
ARG,sptincj992,p0p99,1961,0.8713000000000001
ARG,sptincj992,p0p99,1970,0.8739
ARG,sptincj992,p0p99,1980,0.8514
ARG,sptincj992,p0p99,1981,0.8514
ARG,sptincj992,p0p99,1982,0.8514
ARG,sptincj992,p0p99,1983,0.8514
ARG,sptincj992,p0p99,1984,0.8514
ARG,sptincj992,p0p99,1985,0.8514
ARG,sptincj992,p0p99,1986,0.8514
ARG,sptincj992,p0p99,1987,0.8514
ARG,sptincj992,p0p99,1988,0.8514
ARG,sptincj992,p0p99,1989,0.8514
ARG,sptincj992,p0p99,1990,0.8514
ARG,sptincj992,p0p99,1991,0.8514
ARG,sptincj992,p0p99,1992,0.8514
ARG,sptincj992,p0p99,1993,0.8514
ARG,sptincj992,p0p99,1994,0.8514
ARG,sptincj992,p0p99,1995,0.8514
ARG,sptincj992,p0p99,1996,0.8514
ARG,sptincj992,p0p99,1997,0.8514
ARG,sptincj992,p0p99,1998,0.8514
ARG,sptincj992,p0p99,1999,0.8514
ARG,sptincj992,p0p99,2000,0.8514
ARG,sptincj992,p0p99,2001,0.8542000000000001
ARG,sptincj992,p0p99,2002,0.8339000000000001
ARG,sptincj992,p0p99,2003,0.8390000000000001
ARG,sptincj992,p0p99,2004,0.8347
ARG,sptincj992,p0p99,2005,0.8646
ARG,sptincj992,p0p99,2006,0.8867
ARG,sptincj992,p0p99,2007,0.8332
ARG,sptincj992,p0p99,2008,0.8432000000000001
ARG,sptincj992,p0p99,2009,0.8694000000000001
ARG,sptincj992,p0p99,2010,0.8683000000000001
ARG,sptincj992,p0p99,2011,0.8748
ARG,sptincj992,p0p99,2012,0.9084000000000001
ARG,sptincj992,p0p99,2013,0.8884000000000001
ARG,sptincj992,p0p99,2014,0.8763000000000001
ARG,sptincj992,p0p99,2015,0.8675
ARG,sptincj992,p0p99,2016,0.8585
ARG,sptincj992,p0p99,2017,0.8808
ARG,sptincj992,p0p99,2018,0.8762000000000001
ARG,sptincj992,p0p99,2019,0.8518
ARG,sptincj992,p0p99,2020,0.8528
ARG,sptincj992,p0p99,2021,0.8562000000000001
ARG,sptincj992,p0p99,2022,0.8748
ARG,sptincj992,p0p99,2023,0.8190000000000001
ARG,sptincj992,p0p99,2024,0.8190000000000001
ARG,sptincj992,p50p90,1820,0.3848
ARG,sptincj992,p50p90,1850,0.3811
ARG,sptincj992,p50p90,1880,0.3774
ARG,sptincj992,p50p90,1900,0.3737
ARG,sptincj992,p50p90,1910,0.3664
ARG,sptincj992,p50p90,1920,0.3664
ARG,sptincj992,p50p90,1930,0.3664
ARG,sptincj992,p50p90,1932,0.3668
ARG,sptincj992,p50p90,1933,0.37
ARG,sptincj992,p50p90,1934,0.3688
ARG,sptincj992,p50p90,1935,0.3678
ARG,sptincj992,p50p90,1936,0.365
ARG,sptincj992,p50p90,1937,0.3656
ARG,sptincj992,p50p90,1938,0.3664
ARG,sptincj992,p50p90,1939,0.3653
ARG,sptincj992,p50p90,1940,0.3677
ARG,sptincj992,p50p90,1941,0.3667
ARG,sptincj992,p50p90,1942,0.3693
ARG,sptincj992,p50p90,1943,0.3659
ARG,sptincj992,p50p90,1944,0.3684
ARG,sptincj992,p50p90,1945,0.3711
ARG,sptincj992,p50p90,1946,0.369
ARG,sptincj992,p50p90,1947,0.3705
ARG,sptincj992,p50p90,1948,0.373
ARG,sptincj992,p50p90,1949,0.3768
ARG,sptincj992,p50p90,1950,0.3762
ARG,sptincj992,p50p90,1951,0.3808
ARG,sptincj992,p50p90,1952,0.3816
ARG,sptincj992,p50p90,1953,0.3879
ARG,sptincj992,p50p90,1954,0.3887
ARG,sptincj992,p50p90,1956,0.3948
ARG,sptincj992,p50p90,1958,0.3985
ARG,sptincj992,p50p90,1959,0.3992
ARG,sptincj992,p50p90,1960,0.4022
ARG,sptincj992,p50p90,1961,0.4039
ARG,sptincj992,p50p90,1970,0.4042
ARG,sptincj992,p50p90,1980,0.4127
ARG,sptincj992,p50p90,1981,0.4127
ARG,sptincj992,p50p90,1982,0.4127
ARG,sptincj992,p50p90,1983,0.4127
ARG,sptincj992,p50p90,1984,0.4127
ARG,sptincj992,p50p90,1985,0.4127
ARG,sptincj992,p50p90,1986,0.4127
ARG,sptincj992,p50p90,1987,0.4127
ARG,sptincj992,p50p90,1988,0.4127
ARG,sptincj992,p50p90,1989,0.4127
ARG,sptincj992,p50p90,1990,0.4127
ARG,sptincj992,p50p90,1991,0.4127
ARG,sptincj992,p50p90,1992,0.4127
ARG,sptincj992,p50p90,1993,0.4127
ARG,sptincj992,p50p90,1994,0.4127
ARG,sptincj992,p50p90,1995,0.4127
ARG,sptincj992,p50p90,1996,0.4127
ARG,sptincj992,p50p90,1997,0.4127
ARG,sptincj992,p50p90,1998,0.4127
ARG,sptincj992,p50p90,1999,0.4127
ARG,sptincj992,p50p90,2000,0.4127
ARG,sptincj992,p50p90,2001,0.4131
ARG,sptincj992,p50p90,2002,0.3976
ARG,sptincj992,p50p90,2003,0.4011
ARG,sptincj992,p50p90,2004,0.4022
ARG,sptincj992,p50p90,2005,0.4234
ARG,sptincj992,p50p90,2006,0.4383
ARG,sptincj992,p50p90,2007,0.4113
ARG,sptincj992,p50p90,2008,0.4576
ARG,sptincj992,p50p90,2009,0.4608
ARG,sptincj992,p50p90,2010,0.4459
ARG,sptincj992,p50p90,2011,0.463
ARG,sptincj992,p50p90,2012,0.4715
ARG,sptincj992,p50p90,2013,0.4618
ARG,sptincj992,p50p90,2014,0.4546
ARG,sptincj992,p50p90,2015,0.4522
ARG,sptincj992,p50p90,2016,0.4497
ARG,sptincj992,p50p90,2017,0.4475
ARG,sptincj992,p50p90,2018,0.4477
ARG,sptincj992,p50p90,2019,0.4364
ARG,sptincj992,p50p90,2020,0.4426
ARG,sptincj992,p50p90,2021,0.4411
ARG,sptincj992,p50p90,2022,0.4351
ARG,sptincj992,p50p90,2023,0.4268
ARG,sptincj992,p50p90,2024,0.4268
ARG,sptincj992,p90p100,1820,0.4767
ARG,sptincj992,p90p100,1850,0.4818
ARG,sptincj992,p90p100,1880,0.4868
ARG,sptincj992,p90p100,1900,0.4918
ARG,sptincj992,p90p100,1910,0.5018
ARG,sptincj992,p90p100,1920,0.5018
ARG,sptincj992,p90p100,1930,0.5018
ARG,sptincj992,p90p100,1932,0.5013000000000001
ARG,sptincj992,p90p100,1933,0.4968
ARG,sptincj992,p90p100,1934,0.4985
ARG,sptincj992,p90p100,1935,0.4999
ARG,sptincj992,p90p100,1936,0.5036
ARG,sptincj992,p90p100,1937,0.5028
ARG,sptincj992,p90p100,1938,0.5017
ARG,sptincj992,p90p100,1939,0.5033
ARG,sptincj992,p90p100,1940,0.5
ARG,sptincj992,p90p100,1941,0.5014000000000001
ARG,sptincj992,p90p100,1942,0.4979
ARG,sptincj992,p90p100,1943,0.5025000000000001
ARG,sptincj992,p90p100,1944,0.4991
ARG,sptincj992,p90p100,1945,0.4954
ARG,sptincj992,p90p100,1946,0.4982
ARG,sptincj992,p90p100,1947,0.4962
ARG,sptincj992,p90p100,1948,0.4928
ARG,sptincj992,p90p100,1949,0.4876
ARG,sptincj992,p90p100,1950,0.4884
ARG,sptincj992,p90p100,1951,0.4822
ARG,sptincj992,p90p100,1952,0.4811
ARG,sptincj992,p90p100,1953,0.4726
ARG,sptincj992,p90p100,1954,0.4714
ARG,sptincj992,p90p100,1956,0.4631
ARG,sptincj992,p90p100,1958,0.4581
ARG,sptincj992,p90p100,1959,0.4571
ARG,sptincj992,p90p100,1960,0.453
ARG,sptincj992,p90p100,1961,0.4541
ARG,sptincj992,p90p100,1970,0.4504
ARG,sptincj992,p90p100,1980,0.5057
ARG,sptincj992,p90p100,1981,0.5057
ARG,sptincj992,p90p100,1982,0.5057
ARG,sptincj992,p90p100,1983,0.5057
ARG,sptincj992,p90p100,1984,0.5057
ARG,sptincj992,p90p100,1985,0.5057
ARG,sptincj992,p90p100,1986,0.5057
ARG,sptincj992,p90p100,1987,0.5057
ARG,sptincj992,p90p100,1988,0.5057
ARG,sptincj992,p90p100,1989,0.5057
ARG,sptincj992,p90p100,1990,0.5057
ARG,sptincj992,p90p100,1991,0.5057
ARG,sptincj992,p90p100,1992,0.5057
ARG,sptincj992,p90p100,1993,0.5057
ARG,sptincj992,p90p100,1994,0.5057
ARG,sptincj992,p90p100,1995,0.5057
ARG,sptincj992,p90p100,1996,0.5057
ARG,sptincj992,p90p100,1997,0.5057
ARG,sptincj992,p90p100,1998,0.5057
ARG,sptincj992,p90p100,1999,0.5057
ARG,sptincj992,p90p100,2000,0.5057
ARG,sptincj992,p90p100,2001,0.5166000000000001
ARG,sptincj992,p90p100,2002,0.5324
ARG,sptincj992,p90p100,2003,0.5025000000000001
ARG,sptincj992,p90p100,2004,0.4950000000000001
ARG,sptincj992,p90p100,2005,0.4674
ARG,sptincj992,p90p100,2006,0.4455
ARG,sptincj992,p90p100,2007,0.4742
ARG,sptincj992,p90p100,2008,0.414
ARG,sptincj992,p90p100,2009,0.4171
ARG,sptincj992,p90p100,2010,0.4258
ARG,sptincj992,p90p100,2011,0.4003
ARG,sptincj992,p90p100,2012,0.3881
ARG,sptincj992,p90p100,2013,0.3985
ARG,sptincj992,p90p100,2014,0.416
ARG,sptincj992,p90p100,2015,0.4165
ARG,sptincj992,p90p100,2016,0.4172
ARG,sptincj992,p90p100,2017,0.4179
ARG,sptincj992,p90p100,2018,0.4176
ARG,sptincj992,p90p100,2019,0.437
ARG,sptincj992,p90p100,2020,0.4511
ARG,sptincj992,p90p100,2021,0.4267
ARG,sptincj992,p90p100,2022,0.4323
ARG,sptincj992,p90p100,2023,0.4511
ARG,sptincj992,p90p100,2024,0.4511
ARG,sptincj992,p99p100,1820,0.1975
ARG,sptincj992,p99p100,1850,0.1996
ARG,sptincj992,p99p100,1880,0.2017
ARG,sptincj992,p99p100,1900,0.2037
ARG,sptincj992,p99p100,1910,0.2079
ARG,sptincj992,p99p100,1920,0.2079
ARG,sptincj992,p99p100,1930,0.2079
ARG,sptincj992,p99p100,1932,0.207
ARG,sptincj992,p99p100,1933,0.2
ARG,sptincj992,p99p100,1934,0.2025
ARG,sptincj992,p99p100,1935,0.2048
ARG,sptincj992,p99p100,1936,0.2108
ARG,sptincj992,p99p100,1937,0.2095
ARG,sptincj992,p99p100,1938,0.2077
ARG,sptincj992,p99p100,1939,0.2102
ARG,sptincj992,p99p100,1940,0.205
ARG,sptincj992,p99p100,1941,0.2073
ARG,sptincj992,p99p100,1942,0.2016
ARG,sptincj992,p99p100,1943,0.2089
ARG,sptincj992,p99p100,1944,0.2035
ARG,sptincj992,p99p100,1945,0.1976
ARG,sptincj992,p99p100,1946,0.2022
ARG,sptincj992,p99p100,1947,0.1989
ARG,sptincj992,p99p100,1948,0.1935
ARG,sptincj992,p99p100,1949,0.1853
ARG,sptincj992,p99p100,1950,0.1866
ARG,sptincj992,p99p100,1951,0.1767
ARG,sptincj992,p99p100,1952,0.175
ARG,sptincj992,p99p100,1953,0.1614
ARG,sptincj992,p99p100,1954,0.1595
ARG,sptincj992,p99p100,1956,0.1463
ARG,sptincj992,p99p100,1958,0.1384
ARG,sptincj992,p99p100,1959,0.1368
ARG,sptincj992,p99p100,1960,0.1303
ARG,sptincj992,p99p100,1961,0.1287
ARG,sptincj992,p99p100,1970,0.1261
ARG,sptincj992,p99p100,1980,0.1486
ARG,sptincj992,p99p100,1981,0.1486
ARG,sptincj992,p99p100,1982,0.1486
ARG,sptincj992,p99p100,1983,0.1486
ARG,sptincj992,p99p100,1984,0.1486
ARG,sptincj992,p99p100,1985,0.1486
ARG,sptincj992,p99p100,1986,0.1486
ARG,sptincj992,p99p100,1987,0.1486
ARG,sptincj992,p99p100,1988,0.1486
ARG,sptincj992,p99p100,1989,0.1486
ARG,sptincj992,p99p100,1990,0.1486
ARG,sptincj992,p99p100,1991,0.1486
ARG,sptincj992,p99p100,1992,0.1486
ARG,sptincj992,p99p100,1993,0.1486
ARG,sptincj992,p99p100,1994,0.1486
ARG,sptincj992,p99p100,1995,0.1486
ARG,sptincj992,p99p100,1996,0.1486
ARG,sptincj992,p99p100,1997,0.1486
ARG,sptincj992,p99p100,1998,0.1486
ARG,sptincj992,p99p100,1999,0.1486
ARG,sptincj992,p99p100,2000,0.1486
ARG,sptincj992,p99p100,2001,0.1458
ARG,sptincj992,p99p100,2002,0.1661
ARG,sptincj992,p99p100,2003,0.161
ARG,sptincj992,p99p100,2004,0.1653
ARG,sptincj992,p99p100,2005,0.1354
ARG,sptincj992,p99p100,2006,0.1133
ARG,sptincj992,p99p100,2007,0.1668
ARG,sptincj992,p99p100,2008,0.1568
ARG,sptincj992,p99p100,2009,0.1306
ARG,sptincj992,p99p100,2010,0.1317
ARG,sptincj992,p99p100,2011,0.1252
ARG,sptincj992,p99p100,2012,0.0916
ARG,sptincj992,p99p100,2013,0.1116
ARG,sptincj992,p99p100,2014,0.1237
ARG,sptincj992,p99p100,2015,0.1325
ARG,sptincj992,p99p100,2016,0.1415
ARG,sptincj992,p99p100,2017,0.1192
ARG,sptincj992,p99p100,2018,0.1238
ARG,sptincj992,p99p100,2019,0.1482
ARG,sptincj992,p99p100,2020,0.1472
ARG,sptincj992,p99p100,2021,0.1438
ARG,sptincj992,p99p100,2022,0.1252
ARG,sptincj992,p99p100,2023,0.181
ARG,sptincj992,p99p100,2024,0.181
AUT,spllinf992,p0p100,1990,0.29719999
AUT,spllinf992,p0p100,1991,0.29719999
AUT,spllinf992,p0p100,1992,0.30219999
AUT,spllinf992,p0p100,1993,0.30419999
AUT,spllinf992,p0p100,1994,0.3127
AUT,spllinf992,p0p100,1995,0.3141
AUT,spllinf992,p0p100,1996,0.3134
AUT,spllinf992,p0p100,1997,0.3125
AUT,spllinf992,p0p100,1998,0.296
AUT,spllinf992,p0p100,1999,0.31999999
